Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:42:02,12-09-2024 15:42:08,5.895s,FAILED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Commodity 2024,,,,12-09-2024 15:42:08,12-09-2024 15:42:46,37.981s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:42:08,12-09-2024 15:42:37,28.907s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:42:37,12-09-2024 15:42:39,1.840s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:42:39,12-09-2024 15:42:41,1.890s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:42:41,12-09-2024 15:42:41,0.271s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Commodity Report""), 0)",,,,12-09-2024 15:42:41,12-09-2024 15:42:43,1.737s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:42:43,12-09-2024 15:42:44,0.680s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:42:44,12-09-2024 15:42:46,2.616s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Commodity 2024,,,,12-09-2024 15:42:46,12-09-2024 15:43:26,39.729s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:42:46,12-09-2024 15:43:16,29.257s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:43:16,12-09-2024 15:43:17,1.206s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:43:17,12-09-2024 15:43:19,1.865s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:43:19,12-09-2024 15:43:19,0.223s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Commodity Report""), 0)",,,,12-09-2024 15:43:19,12-09-2024 15:43:21,1.860s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:43:21,12-09-2024 15:43:21,0.751s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Verify""), 0)",,,,12-09-2024 15:43:21,12-09-2024 15:43:25,3.498s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Back""), 0)",,,,12-09-2024 15:43:25,12-09-2024 15:43:26,1.032s,PASSED
,,,,,,,
Test Cases/Ledger Report/View Ledger Commodity 2024-25,,,,12-09-2024 15:43:26,12-09-2024 15:44:07,40.502s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:43:26,12-09-2024 15:43:55,28.816s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:43:55,12-09-2024 15:43:57,1.663s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:43:57,12-09-2024 15:43:58,1.373s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:43:58,12-09-2024 15:43:58,0.218s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Commodity Report""), 0)",,,,12-09-2024 15:43:58,12-09-2024 15:44:00,1.707s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:44:00,12-09-2024 15:44:01,0.913s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:44:01,12-09-2024 15:44:07,5.799s,FAILED
,,,,,,,
Test Cases/Global Report/Global Equity 2023-24,,,,12-09-2024 15:44:07,12-09-2024 15:44:49,42.549s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:44:07,12-09-2024 15:44:37,30.624s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:44:37,12-09-2024 15:44:38,1.250s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:44:38,12-09-2024 15:44:40,1.893s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2024-2025""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:44:40,12-09-2024 15:44:41,0.223s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2023-2024""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:44:41,12-09-2024 15:44:42,1.712s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:44:42,12-09-2024 15:44:43,0.708s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Global Share Verify""), 0)",,,,12-09-2024 15:44:43,12-09-2024 15:44:49,6.100s,FAILED
,,,,,,,
Test Cases/Global Report/Global Equity Datewise,,,,12-09-2024 15:44:49,12-09-2024 15:45:30,40.528s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:44:49,12-09-2024 15:45:18,28.925s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:45:18,12-09-2024 15:45:20,1.652s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:45:20,12-09-2024 15:45:21,1.456s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Category""), 0)",,,,12-09-2024 15:45:21,12-09-2024 15:45:21,0.255s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Datewise""), 0)",,,,12-09-2024 15:45:21,12-09-2024 15:45:23,1.682s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:45:23,12-09-2024 15:45:24,0.744s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Global Share Verify""), 0)",,,,12-09-2024 15:45:24,12-09-2024 15:45:30,5.774s,FAILED
,,,,,,,
Test Cases/Global Report/Global Derivative 2024-25,,,,12-09-2024 15:45:30,12-09-2024 15:46:12,42.068s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:45:30,12-09-2024 15:45:59,29.586s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:45:59,12-09-2024 15:46:01,2.173s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:46:01,12-09-2024 15:46:03,1.544s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Equity Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:46:03,12-09-2024 15:46:03,0.244s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Derivative Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:46:03,12-09-2024 15:46:05,1.695s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:46:05,12-09-2024 15:46:06,0.761s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Global Share Verify""), 0)",,,,12-09-2024 15:46:06,12-09-2024 15:46:12,6.022s,FAILED
,,,,,,,
Test Cases/Global Report/Global Derivative Datewise 2024,,,,12-09-2024 15:46:12,12-09-2024 15:46:54,42.671s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:46:12,12-09-2024 15:46:41,29.125s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:46:41,12-09-2024 15:46:43,1.652s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:46:43,12-09-2024 15:46:44,1.417s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Equity Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:46:44,12-09-2024 15:46:44,0.234s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Derivative Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:46:44,12-09-2024 15:46:46,1.698s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Category""), 0)",,,,12-09-2024 15:46:46,12-09-2024 15:46:46,0.245s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Datewise""), 0)",,,,12-09-2024 15:46:46,12-09-2024 15:46:48,1.698s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:46:48,12-09-2024 15:46:49,0.754s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Global Share Verify""), 0)",,,,12-09-2024 15:46:49,12-09-2024 15:46:54,5.799s,FAILED
,,,,,,,
Test Cases/Global Report/Global Derivative Datewise 2023,,,,12-09-2024 15:46:54,12-09-2024 15:47:39,44.780s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:46:54,12-09-2024 15:47:23,28.823s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:47:23,12-09-2024 15:47:25,1.695s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:47:25,12-09-2024 15:47:27,1.994s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Equity Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:47:27,12-09-2024 15:47:27,0.228s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Derivative Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:47:27,12-09-2024 15:47:29,1.710s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Category""), 0)",,,,12-09-2024 15:47:29,12-09-2024 15:47:29,0.197s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Datewise""), 0)",,,,12-09-2024 15:47:29,12-09-2024 15:47:31,1.704s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2024-2025""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:47:31,12-09-2024 15:47:31,0.177s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2023-2024""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:47:31,12-09-2024 15:47:33,1.756s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:47:33,12-09-2024 15:47:33,0.732s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Global Share Verify""), 0)",,,,12-09-2024 15:47:33,12-09-2024 15:47:39,5.719s,FAILED
,,,,,,,
Test Cases/Tax PL/Tax Currency 2023,,,,12-09-2024 15:47:39,12-09-2024 15:48:26,46.560s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:47:39,12-09-2024 15:48:11,31.601s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:48:11,12-09-2024 15:48:13,2.165s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Tax Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:48:13,12-09-2024 15:48:14,1.331s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Global Equity Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:48:14,12-09-2024 15:48:15,0.271s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Tax Currency Click""), 0)",,,,12-09-2024 15:48:15,12-09-2024 15:48:16,1.694s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2024-2025""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:48:16,12-09-2024 15:48:16,0.215s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2023-2024""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:48:16,12-09-2024 15:48:18,1.733s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:48:18,12-09-2024 15:48:19,0.729s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Tax Share Verify""), 0)",,,,12-09-2024 15:48:19,12-09-2024 15:48:23,3.691s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Back""), 0)",,,,12-09-2024 15:48:23,12-09-2024 15:48:24,1.061s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:48:24,12-09-2024 15:48:24,0.693s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:48:24,12-09-2024 15:48:26,1.337s,PASSED
